N°,Región,Fecha del mensaje,Hora,Mensaje,Poligono de difusión,Tipo de Mensaje,Evento,Fecha_dt,FechaHora_del_mensaje,Amenaza,Variable_amenaza,Fecha_real,Hora_real
2136,Biobío,46217.0,0.979166666666667,"SENAPRED: EVITE ribera del Rio Pichilo, por alerta de crecida. comuna de Arauco.",Comuna de Arauco,Preventivo,Inundación,2026-07-14,2026-07-14 23:30:00,Meteorológica,Inundación,14/07/2026,23:30
2137,Ñuble,46218.0,0.636805555555556,"SENAPRED: EVITE ribera del Rio Niblinto, por alerta de crecida. comuna de Coihueco.",Comuna de Coihueco,Preventivo,Inundación,2026-07-15,2026-07-15 15:17:00,Meteorológica,Inundación,15/07/2026,15:17
2138,Biobío,46219.0,0.378472222222222,"SENAPRED: EVITE ribera del Rio Curanilahue, por alerta de crecida. comuna de Curanilahue.",Comuna de Curanilahue,Preventivo,Inundación,2026-07-16,2026-07-16 09:05:00,Meteorológica,Inundación,16/07/2026,09:05
2139,Biobío,46219.0,0.411805555555556,"SENAPRED: EVITE ribera del Rio Pichilo, por alerta de crecida, comuna de Arauco.",Comuna de Arauco,Preventivo,Inundación,2026-07-16,2026-07-16 09:53:00,Meteorológica,Inundación,16/07/2026,09:53
2140,Biobío,46219.0,0.482638888888889,"SENAPRED: EVACUE borde costero, sector Cerro Verde Bajo, por marejadas, comuna de Penco",Comuna de Penco,Amenaza Inminente,Otras Emergencias,2026-07-16,2026-07-16 11:35:00,Meteorológica,Marejadas,16/07/2026,11:35
2141,Biobío,46219.0,0.545833333333333,"SENAPRED: EVACUE borde costero, Malaquias Concha y Barrio Chino, por marejadas, Penco",Comuna de Penco,Amenaza Inminente,Otras Emergencias,2026-07-16,2026-07-16 13:06:00,Meteorológica,Marejadas,16/07/2026,13:06
2142,Biobío,46219.0,0.570138888888889,"SENAPRED: EVACUE ribera de Rios Curanilahue y Rana, por crecida, comuna de Curanilahue.",Comuna de Curanilahue,Amenaza Inminente,Inundación,2026-07-16,2026-07-16 13:41:00,Meteorológica,Inundación,16/07/2026,13:41
2143,Biobío,46219.0,0.571527777777778,"SENAPRED: EVACUE ribera del Estero Plegarias, por crecida, comuna de Curanilahue.",Comuna de Curanilahue,Amenaza Inminente,Inundación,2026-07-16,2026-07-16 13:43:00,Meteorológica,Inundación,16/07/2026,13:43
2144,Valparaíso,46219.0,0.761805555555556,"SENAPRED: EVACUE Poblacion Argentina por peligro de aluvion, comuna de Quilpue",Comuna de Quilpué,Preventivo,Remoción en masa,2026-07-16,2026-07-16 18:17:00,Meteorológica,Remoción en masa,16/07/2026,18:17
2145,Metropolitana,46220.0,0.554861111111111,"SENAPRED: EVACUE Campamento Ribera Del rio por crecida de rio Mapocho, Comuna de Talagante",Comuna de Talagante,Amenaza Inminente,Inundación,2026-07-17,2026-07-17 13:19:00,Meteorológica,Inundación,17/07/2026,13:19
2146,Tarapacá,46220.0,0.652777777777778,"SENAPRED: EVACUE calles Arturo Prat y Ohiggins por incendio forestal, comuna de camina",Comuna de Camiña,Amenaza Inminente,Incendio Forestal,2026-07-17,2026-07-17 15:40:00,Incendios Forestales,Incendio Forestal,17/07/2026,15:40
2147,Valparaíso,46220.0,0.65625,"SENAPRED: EVITE ribera Estero Marga Marga, por alerta de crecida, comuna Vina del Mar.",Comuna de Viña del Mar,Preventivo,Inundación,2026-07-17,2026-07-17 15:45:00,Meteorológica,Inundación,17/07/2026,15:45
2148,Valparaíso,46220.0,0.730555555555556,"SENAPRED: EVITE ribera del rio Aconcagua, sector La Isla, por crecida, comuna de Concon",Comuna de Concón,Preventivo,Inundación,2026-07-17,2026-07-17 17:32:00,Meteorológica,Inundación,17/07/2026,17:32
2149,Coquimbo,46220.0,0.7375,"SENAPRED: EVACUE sector Infiernillos por aluvion, comuna de Los Vilos",Comuna de Los Vilos,Amenaza Inminente,Remoción en masa,2026-07-17,2026-07-17 17:42:00,Meteorológica,Remoción en masa,17/07/2026,17:42
2150,Valparaíso,46220.0,0.741666666666667,"SENAPRED: EVACUE Condominio La Hacienda por aluvion, Comuna de La Cruz",Comuna de La Cruz,Amenaza Inminente,Remoción en masa,2026-07-17,2026-07-17 17:48:00,Meteorológica,Remoción en masa,17/07/2026,17:48
2151,Valparaíso,46220.0,0.754166666666667,"SENAPRED:EVACUE Ribera Belloto Norte, Infante, El Sol por desborde Estero Quilpue, Quilpue",Comuna de Quilpué,Amenaza Inminente,Inundación,2026-07-17,2026-07-17 18:06:00,Meteorológica,Inundación,17/07/2026,18:06
2152,Valparaíso,46220.0,0.759027777777778,"SENAPRED: EVITE ribera del rio petorca, por alerta de crecida, comuna de Petorca",Comuna de Petorca,Preventivo,Inundación,2026-07-17,2026-07-17 18:13:00,Meteorológica,Inundación,17/07/2026,18:13
2153,Valparaíso,46220.0,0.761805555555556,"SENAPRED: EVITE ribera del rio petorca, por alerta de crecida, comuna de La Ligua",Comuna de La Ligua,Preventivo,Inundación,2026-07-17,2026-07-17 18:17:00,Meteorológica,Inundación,17/07/2026,18:17
2154,Valparaíso,46220.0,0.765972222222222,"SENAPRED: EVACUE sector Otaegui por desborde del estero El Sauce, Comuna de Valparaiso",Comuna de Valparaíso,Amenaza Inminente,Inundación,2026-07-17,2026-07-17 18:23:00,Meteorológica,Inundación,17/07/2026,18:23
2155,Coquimbo,46220.0,0.772916666666667,"SENAPRED : EVITE ribera de rios, esteros y quebradas por crecidas, Provincia de Choapa",Provincia de Choapa,Preventivo,Inundación,2026-07-17,2026-07-17 18:33:00,Meteorológica,Inundación,17/07/2026,18:33
2156,Valparaíso,46220.0,0.779166666666667,"SENAPRED: EVITE ribera del estero de Renaca, por alerta de crecida, Comuna de Viña del Mar",Comuna de Viña del Mar,Preventivo,Inundación,2026-07-17,2026-07-17 18:42:00,Meteorológica,Inundación,17/07/2026,18:42
2157,Coquimbo,46220.0,0.788888888888889,"SENAPRED : EVACUE sectores cercanos del estero Canela por desborde, comuna de Canela",Comuna de Canela,Amenaza Inminente,Inundación,2026-07-17,2026-07-17 18:56:00,Meteorológica,Inundación,17/07/2026,18:56
2158,Valparaíso,46220.0,0.792361111111111,"SENAPRED: EVACUE sector el Garreton por desborde del estero El Garreton, Comuna de Nogales",Comuna de Nogales,Amenaza Inminente,Inundación,2026-07-17,2026-07-17 19:01:00,Meteorológica,Inundación,17/07/2026,19:01
2159,Valparaíso,46220.0,0.846527777777778,"SENAPRED: EVACUE sector Cerrillos por desborde del estero Catemu, Comuna de Catemu",Comuna de Catemu,Amenaza Inminente,Inundación,2026-07-17,2026-07-17 20:19:00,Meteorológica,Inundación,17/07/2026,20:19
2160,Valparaíso,46220.0,0.885416666666667,"SENAPRED: EVACUE sector Eden Bajo Laguna Verde por crecida del estero El Sauce, Valparaiso",Comuna de Valparaíso,Amenaza Inminente,Inundación,2026-07-17,2026-07-17 21:15:00,Meteorológica,Inundación,17/07/2026,21:15
2161,Coquimbo,46220.0,0.899305555555556,"SENAPRED: EVACUE sector Canela Alta y Cruce Los Canelos por desborde Rio Canela, Canela",Comuna de Canela,Amenaza Inminente,Inundación,2026-07-17,2026-07-17 21:35:00,Meteorológica,Inundación,17/07/2026,21:35
2162,Coquimbo,46220.0,0.927777777777778,"SENAPRED: EVACUE sector ByPass Salamanca por desborde del Rio Choapa, comuna de Salamanca",Comuna de Salamanca,Amenaza Inminente,Inundación,2026-07-17,2026-07-17 22:16:00,Meteorológica,Inundación,17/07/2026,22:16
2163,Coquimbo,46220.0,0.929861111111111,"SENAPRED: EVACUE sectores Arboleda, Tebal y Chalinga por desborde Rio Chalinga, Salamanca",Comuna de Salamanca,Amenaza Inminente,Inundación,2026-07-17,2026-07-17 22:19:00,Meteorológica,Inundación,17/07/2026,22:19
2164,Coquimbo,46220.0,0.940972222222222,"SENAPRED: EVACUE Chañaral Alto por desborde estero en Quebrada La Tonta, Monte Patria",Comuna de Monte Patria,Amenaza Inminente,Inundación,2026-07-17,2026-07-17 22:35:00,Meteorológica,Inundación,17/07/2026,22:35
2165,Valparaíso,46220.0,0.945833333333333,"SENAPRED: EVACUE sector Chorrillos por crecida estero San Francisco, comuna de Santa Maria",Comuna de Santa María,Amenaza Inminente,Inundación,2026-07-17,2026-07-17 22:42:00,Meteorológica,Inundación,17/07/2026,22:42
2166,Valparaíso,46220.0,0.947916666666667,"SENAPRED: EVACUE sector Los Molles por crecida estero San Francisco, comuna de San Felipe",Comuna de San Felipe,Amenaza Inminente,Inundación,2026-07-17,2026-07-17 22:45:00,Meteorológica,Inundación,17/07/2026,22:45
2167,Coquimbo,46220.0,0.961111111111111,SENAPRED: EVACUE sectores El Molino y Pobl. Jenifer Alfaro por desborde Rio Combarbala,Comuna de Combarbalá,Amenaza Inminente,Inundación,2026-07-17,2026-07-17 23:04:00,Meteorológica,Inundación,17/07/2026,23:04
2168,Coquimbo,46220.0,0.9625,SENAPRED: EVACUE sector Costanera Punitaqui y Calle Riquelme por desborde estero Punitaqui,Comuna de Punitaqui,Amenaza Inminente,Inundación,2026-07-17,2026-07-17 23:06:00,Meteorológica,Inundación,17/07/2026,23:06
2169,Coquimbo,46220.0,0.964583333333333,"SENAPRED: EVACUE sector Las Lluvias por desborde estero Punitaqui, comuna de Punitaqui",Comuna de Punitaqui,Amenaza Inminente,Inundación,2026-07-17,2026-07-17 23:09:00,Meteorológica,Inundación,17/07/2026,23:09
2170,Valparaíso,46220.0,0.967361111111111,"SENAPRED: EVACUE sector La Isla por crecida del Rio Aconcagua, comuna de Concon",Comuna de Concón,Amenaza Inminente,Inundación,2026-07-17,2026-07-17 23:13:00,Meteorológica,Inundación,17/07/2026,23:13
2171,Valparaíso,46220.0,0.968055555555556,"SENAPRED: EVACUE sector La Isla por crecida del Rio Aconcagua, comuna de Quintero",Comuna de Quintero,Amenaza Inminente,Inundación,2026-07-17,2026-07-17 23:14:00,Meteorológica,Inundación,17/07/2026,23:14
2172,Valparaíso,46220.0,0.970138888888889,"SENAPRED: EVACUE sector Tabolango y La Victoria por crecida del Rio Aconcagua, Limache",Comuna de Limache,Amenaza Inminente,Inundación,2026-07-17,2026-07-17 23:17:00,Meteorológica,Inundación,17/07/2026,23:17
2173,Valparaíso,46220.0,0.971527777777778,"SENAPRED: EVACUE sector Santa Rosa de Colmo por crecida del Rio Aconcagua, comuna Quillota",Comuna de Quillota,Amenaza Inminente,Inundación,2026-07-17,2026-07-17 23:19:00,Meteorológica,Inundación,17/07/2026,23:19
2174,Valparaíso,46220.0,0.973611111111111,"SENAPRED: EVACUE sector El Cobre por desborde del Estero El Cobre, comuna de San Esteban",Comuna de San Esteban,Amenaza Inminente,Inundación,2026-07-17,2026-07-17 23:22:00,Meteorológica,Inundación,17/07/2026,23:22
2175,Coquimbo,46221.0,0.0375,"SENAPRED: EVACUE sectores Huentelauquen Bajo y Sur por desborde Rio Choapa, comuna Canela",Comuna de Canela,Amenaza Inminente,Inundación,2026-07-18,2026-07-18 00:54:00,Meteorológica,Inundación,18/07/2026,00:54
2176,Atacama,46221.0,0.241666666666667,"SENAPRED: EVACUE sector Las Pircas y La Fragua por activacion de quebradas, Alto del Carmen",Comuna de Alto del Carmen,Amenaza Inminente,Inundación,2026-07-18,2026-07-18 05:48:00,Meteorológica,Inundación,18/07/2026,05:48
2177,Coquimbo,46221.0,0.261111111111111,"SENAPRED: EVACUE sector Quebrada San Carlos por activacion de quebradas, comuna de Vicuña",Comuna de Vicuña,Amenaza Inminente,Inundación,2026-07-18,2026-07-18 06:16:00,Meteorológica,Inundación,18/07/2026,06:16
2178,Coquimbo,46221.0,0.313888888888889,"SENAPRED: EVACUE sector costa de Villa El Arrayan por activacion de quebradas, com. Vicuna",Comuna de Vicuña,Amenaza Inminente,Inundación,2026-07-18,2026-07-18 07:32:00,Meteorológica,Inundación,18/07/2026,07:32
2179,Coquimbo,46221.0,0.315972222222222,"SENAPRED: EVACUE sectores Marquesa y Nueva Talcuna por activacion de quebradas, com. Vicuna",Comuna de Vicuña,Amenaza Inminente,Inundación,2026-07-18,2026-07-18 07:35:00,Meteorológica,Inundación,18/07/2026,07:35
2180,Coquimbo,46221.0,0.318055555555556,"SENAPRED: EVACUE sector El Almendral por activacion de quebradas, comuna de Vicuna",Comuna de Vicuña,Amenaza Inminente,Inundación,2026-07-18,2026-07-18 07:38:00,Meteorológica,Inundación,18/07/2026,07:38
2181,Atacama,46221.0,0.324305555555556,"SENAPRED: EVACUE sector Quebrada Valparaiso por desborde de canal, comuna de Vallena",Comuna de Vallenar,Amenaza Inminente,Inundación,2026-07-18,2026-07-18 07:47:00,Meteorológica,Inundación,18/07/2026,07:47
2182,Atacama,46221.0,0.347916666666667,"SENAPRED: EVITE ribera de rios El Carmen y El Transito por crecida, Comuna Alto del Carmen",Comuna de Alto del Carmen,Preventivo,Inundación,2026-07-18,2026-07-18 08:21:00,Meteorológica,Inundación,18/07/2026,08:21
2183,Coquimbo,46221.0,0.390972222222222,"SENAPRED: EVITE ribera de rios, esteros y quebradas por crecidas, Provincia del Elqui",Provincia de Elqui,Preventivo,Inundación,2026-07-18,2026-07-18 09:23:00,Meteorológica,Inundación,18/07/2026,09:23
2184,Atacama,46221.0,0.398611111111111,"SENAPRED: EVITE ribera de rios El Carmen y El Transito por crecida, Comuna Alto del Carmen",Comuna de Alto del Carmen,Preventivo,Inundación,2026-07-18,2026-07-18 09:34:00,Meteorológica,Inundación,18/07/2026,09:34
2185,Atacama,46221.0,0.427777777777778,"SENAPRED: EVACUE Villa Prat localidad El transito por desborde, Comuna Alto del Carmen",Comuna de Alto del Carmen,Amenaza Inminente,Inundación,2026-07-18,2026-07-18 10:16:00,Meteorológica,Inundación,18/07/2026,10:16
2186,Atacama,46221.0,0.429861111111111,"SENAPRED: EVACUE sector El Retamo Valle del carmen por desborde, Comuna Alto del Carmen",Comuna de Alto del Carmen,Amenaza Inminente,Inundación,2026-07-18,2026-07-18 10:19:00,Meteorológica,Inundación,18/07/2026,10:19
2187,Coquimbo,46221.0,0.451388888888889,"SENAPRED: EVITE ribera de rios, esteros y quebradas por crecidas, Provincia del Limari",Provincia de Limarí,Preventivo,Inundación,2026-07-18,2026-07-18 10:50:00,Meteorológica,Inundación,18/07/2026,10:50
2188,Coquimbo,46221.0,0.521527777777778,"SENAPRED: EVACUE Valle Los Angeles, sector Las Rojas por desborde rio Elqui. La Serena",Comuna de La Serena,Amenaza Inminente,Inundación,2026-07-18,2026-07-18 12:31:00,Meteorológica,Inundación,18/07/2026,12:31
2189,Coquimbo,46221.0,0.527777777777778,"SENAPRED: EVACUE sector Santa Cristina, por desborde quebrada Santa Cristina, comuna Ovalle",Comuna de Ovalle,Amenaza Inminente,Inundación,2026-07-18,2026-07-18 12:40:00,Meteorológica,Inundación,18/07/2026,12:40
2190,Coquimbo,46221.0,0.545833333333333,"SENAPRED: EVACUE sector centro de Tongoy, por desborde de estero Tongoy, comuna de Coquimbo",Comuna de Coquimbo,Amenaza Inminente,Inundación,2026-07-18,2026-07-18 13:06:00,Meteorológica,Inundación,18/07/2026,13:06
2191,Coquimbo,46221.0,0.55625,"SENAPRED: EVACUE Tambillos, Apatitas, Las Cardas, por desborde de quebrada Tambillos, Coquimbo.",Comuna de Coquimbo,Amenaza Inminente,Inundación,2026-07-18,2026-07-18 13:21:00,Meteorológica,Inundación,18/07/2026,13:21
2192,Coquimbo,46221.0,0.559722222222222,"SENAPRED: EVACUE sector Carachilla El Guindo, por desborde quebrada Seca Sotaquí. Com Ovalle.",Comuna de Ovalle,Amenaza Inminente,Inundación,2026-07-18,2026-07-18 13:26:00,Meteorológica,Inundación,18/07/2026,13:26
2193,Coquimbo,46221.0,0.598611111111111,"SENAPRED: EVACUE sector Higueritas Unidas, por desborde quebrada El Ingenio, comuna Ovalle.",Comuna de Ovalle,Amenaza Inminente,Inundación,2026-07-18,2026-07-18 14:22:00,Meteorológica,Inundación,18/07/2026,14:22
2194,Atacama,46221.0,0.61875,"SENAPRED: EVACUE La Vega, Valle del carmen por activación quebrada La Vega. Alto del Carmen",Comuna de Alto del Carmen,Amenaza Inminente,Inundación,2026-07-18,2026-07-18 14:51:00,Meteorológica,Inundación,18/07/2026,14:51
2195,Atacama,46221.0,0.675694444444444,"SENAPRED: EVACUE entre la Junta y Embalse Santa Juana, por desborde. comuna Alto del Carmen",Comuna de Alto del Carmen,Amenaza Inminente,Inundación,2026-07-18,2026-07-18 16:13:00,Meteorológica,Inundación,18/07/2026,16:13
2196,Coquimbo,46221.0,0.679166666666667,"SENAPRED: EVACUE sector San Carlos, por desborde de quebrada San Carlos, comuna de Vicuña.",Comuna de Vicuña,Amenaza Inminente,Inundación,2026-07-18,2026-07-18 16:18:00,Meteorológica,Inundación,18/07/2026,16:18
2197,Atacama,46221.0,0.70625,"SENAPRED: EVACUE entre Iglesia Colorada y Embalse Lautaro por desborde, Com Tierra Amarilla",Comuna de Tierra Amarilla,Amenaza Inminente,Inundación,2026-07-18,2026-07-18 16:57:00,Meteorológica,Inundación,18/07/2026,16:57
2198,Atacama,46221.0,0.803472222222222,"SENAPRED: EVACUE sector Burro Muerto, Nueva Caldera por activación quebrada, comuna Caldera",Comuna de Caldera,Amenaza Inminente,Inundación,2026-07-18,2026-07-18 19:17:00,Meteorológica,Inundación,18/07/2026,19:17
2199,Coquimbo,46221.0,0.807638888888889,"SENAPRED: EVACUE sectores Valle de Los Ángeles e Hinojal, por desborde  río Elqui, La Serena.",Comuna de La Serena,Amenaza Inminente,Inundación,2026-07-18,2026-07-18 19:23:00,Meteorológica,Inundación,18/07/2026,19:23
2200,Atacama,46221.0,0.815277777777778,"SENAPRED: EVACUE sectores Hornitos y Pabellon por activacion de quebradas, Tierra Amarilla",Comuna de Tierra Amarilla,Amenaza Inminente,Inundación,2026-07-18,2026-07-18 19:34:00,Meteorológica,Inundación,18/07/2026,19:34
2201,Coquimbo,46221.0,0.855555555555556,"SENAPRED: EVACUE sector La Ensenada por desborde de Rio Grande, comuna de Ovalle",Comuna de Ovalle,Amenaza Inminente,Inundación,2026-07-18,2026-07-18 20:32:00,Meteorológica,Inundación,18/07/2026,20:32
